  1 requests sent |    255 bytes sent |    6611 echo time
  1 requests sent |    255 bytes sent |   14998 echo time
  1 requests sent |    255 bytes sent |    3179 echo time
  1 requests sent |    255 bytes sent |   11689 echo time
  1 requests sent |    255 bytes sent |   34331 echo time
  1 requests sent |    255 bytes sent |   41860 echo time
  1 requests sent |    255 bytes sent |   43200 echo time
  1 requests sent |    255 bytes sent |   41499 echo time
  2 requests sent |    510 bytes sent |      37 echo time
  2 requests sent |    510 bytes sent |   14515 echo time
  2 requests sent |    510 bytes sent |   38120 echo time
  2 requests sent |    510 bytes sent |   19833 echo time
  2 requests sent |    510 bytes sent |   58309 echo time
  2 requests sent |    510 bytes sent |   12362 echo time
  2 requests sent |    510 bytes sent |   37379 echo time
  2 requests sent |    510 bytes sent |   24330 echo time
  3 requests sent |    765 bytes sent |   13557 echo time
  3 requests sent |    765 bytes sent |     287 echo time
  3 requests sent |    765 bytes sent |   17404 echo time
  3 requests sent |    765 bytes sent |     578 echo time
  3 requests sent |    765 bytes sent |   27683 echo time
  3 requests sent |    765 bytes sent |   52896 echo time
  3 requests sent |    765 bytes sent |   59591 echo time
  3 requests sent |    765 bytes sent |   82878 echo time
  4 requests sent |   1020 bytes sent |   21344 echo time
  4 requests sent |   1020 bytes sent |   31260 echo time
  4 requests sent |   1020 bytes sent |    2164 echo time
  4 requests sent |   1020 bytes sent |    1756 echo time
  4 requests sent |   1020 bytes sent |   24988 echo time
  4 requests sent |   1020 bytes sent |   16231 echo time
  4 requests sent |   1020 bytes sent |   72186 echo time
  4 requests sent |   1020 bytes sent |   10289 echo time
  5 requests sent |   1275 bytes sent |    4052 echo time
  5 requests sent |   1275 bytes sent |   36987 echo time
  5 requests sent |   1275 bytes sent |   26629 echo time
  5 requests sent |   1275 bytes sent |   14251 echo time
  5 requests sent |   1275 bytes sent |   32231 echo time
  5 requests sent |   1275 bytes sent |   37504 echo time
  5 requests sent |   1275 bytes sent |   27727 echo time
  5 requests sent |   1275 bytes sent |   29446 echo time
  6 requests sent |   1530 bytes sent |    3976 echo time
  6 requests sent |   1530 bytes sent |    3618 echo time
  6 requests sent |   1530 bytes sent |    6414 echo time
  6 requests sent |   1530 bytes sent |    7870 echo time
  6 requests sent |   1530 bytes sent |  112744 echo time
  6 requests sent |   1530 bytes sent |   12778 echo time
  6 requests sent |   1530 bytes sent |   16259 echo time
  6 requests sent |   1530 bytes sent |    6055 echo time
  7 requests sent |   1785 bytes sent |   26966 echo time
  7 requests sent |   1785 bytes sent |     191 echo time
  7 requests sent |   1785 bytes sent |    9923 echo time
  7 requests sent |   1785 bytes sent |   52810 echo time
  7 requests sent |   1785 bytes sent |   28325 echo time
  7 requests sent |   1785 bytes sent |   54248 echo time
  7 requests sent |   1785 bytes sent |   42933 echo time
  7 requests sent |   1785 bytes sent |   34955 echo time
  8 requests sent |   2040 bytes sent |    5366 echo time
  8 requests sent |   2040 bytes sent |   18416 echo time
  8 requests sent |   2040 bytes sent |   46694 echo time
  8 requests sent |   2040 bytes sent |   61293 echo time
  8 requests sent |   2040 bytes sent |   27400 echo time
  8 requests sent |   2040 bytes sent |   16058 echo time
  8 requests sent |   2040 bytes sent |    8780 echo time
  8 requests sent |   2040 bytes sent |       0 echo time
  9 requests sent |   2295 bytes sent |    9588 echo time
  9 requests sent |   2295 bytes sent |   10010 echo time
  9 requests sent |   2295 bytes sent |   10401 echo time
  9 requests sent |   2295 bytes sent |    8282 echo time
  9 requests sent |   2295 bytes sent |    5234 echo time
  9 requests sent |   2295 bytes sent |   12993 echo time
  9 requests sent |   2295 bytes sent |   34488 echo time
  9 requests sent |   2295 bytes sent |   53556 echo time
 10 requests sent |   2550 bytes sent |   24376 echo time
 10 requests sent |   2550 bytes sent |   16680 echo time
 10 requests sent |   2550 bytes sent |   47643 echo time
 10 requests sent |   2550 bytes sent |   16342 echo time
 10 requests sent |   2550 bytes sent |   55824 echo time
 10 requests sent |   2550 bytes sent |   61000 echo time
 10 requests sent |   2550 bytes sent |   12893 echo time
 10 requests sent |   2550 bytes sent |   92169 echo time
 11 requests sent |   2805 bytes sent |    1303 echo time
 11 requests sent |   2805 bytes sent |   16861 echo time
 11 requests sent |   2805 bytes sent |   18111 echo time
 11 requests sent |   2805 bytes sent |    9488 echo time
 11 requests sent |   2805 bytes sent |   17304 echo time
 11 requests sent |   2805 bytes sent |    5096 echo time
 11 requests sent |   2805 bytes sent |   38496 echo time
 11 requests sent |   2805 bytes sent |   14668 echo time
 12 requests sent |   3060 bytes sent |   17599 echo time
 12 requests sent |   3060 bytes sent |    6298 echo time
 12 requests sent |   3060 bytes sent |   16789 echo time
 12 requests sent |   3060 bytes sent |   16688 echo time
 12 requests sent |   3060 bytes sent |    4108 echo time
 12 requests sent |   3060 bytes sent |      65 echo time
 12 requests sent |   3060 bytes sent |   33920 echo time
 12 requests sent |   3060 bytes sent |   47271 echo time
 13 requests sent |   3315 bytes sent |   12183 echo time
 13 requests sent |   3315 bytes sent |   13375 echo time
 13 requests sent |   3315 bytes sent |      45 echo time
 13 requests sent |   3315 bytes sent |   38448 echo time
 13 requests sent |   3315 bytes sent |   48782 echo time
 13 requests sent |   3315 bytes sent |      45 echo time
 13 requests sent |   3315 bytes sent |   61141 echo time
 13 requests sent |   3315 bytes sent |    9554 echo time
 14 requests sent |   3570 bytes sent |   23479 echo time
 14 requests sent |   3570 bytes sent |   22102 echo time
 14 requests sent |   3570 bytes sent |   52685 echo time
 14 requests sent |   3570 bytes sent |   15616 echo time
 14 requests sent |   3570 bytes sent |      80 echo time
 14 requests sent |   3570 bytes sent |    7106 echo time
 14 requests sent |   3570 bytes sent |   47717 echo time
 14 requests sent |   3570 bytes sent |   30480 echo time
 15 requests sent |   3825 bytes sent |   95044 echo time
 15 requests sent |   3825 bytes sent |      55 echo time
 15 requests sent |   3825 bytes sent |   85139 echo time
 15 requests sent |   3825 bytes sent |   11956 echo time
 15 requests sent |   3825 bytes sent |   69740 echo time
 15 requests sent |   3825 bytes sent |   67512 echo time
 15 requests sent |   3825 bytes sent |   63681 echo time
 15 requests sent |   3825 bytes sent |   19007 echo time
 16 requests sent |   4080 bytes sent |   36542 echo time
 16 requests sent |   4080 bytes sent |   15718 echo time
 16 requests sent |   4080 bytes sent |   32778 echo time
 16 requests sent |   4080 bytes sent |    9656 echo time
 16 requests sent |   4080 bytes sent |   46825 echo time
 16 requests sent |   4080 bytes sent |   32797 echo time
 16 requests sent |   4080 bytes sent |   11137 echo time
 16 requests sent |   4080 bytes sent |   36750 echo time
 17 requests sent |   4335 bytes sent |    7183 echo time
 17 requests sent |   4335 bytes sent |   14743 echo time
 17 requests sent |   4335 bytes sent |   40078 echo time
 17 requests sent |   4335 bytes sent |    6130 echo time
 17 requests sent |   4335 bytes sent |   68877 echo time
 17 requests sent |   4335 bytes sent |   30667 echo time
 17 requests sent |   4335 bytes sent |   16059 echo time
 17 requests sent |   4335 bytes sent |      43 echo time
 18 requests sent |   4590 bytes sent |    2938 echo time
 18 requests sent |   4590 bytes sent |   15320 echo time
 18 requests sent |   4590 bytes sent |   14689 echo time
 18 requests sent |   4590 bytes sent |   27630 echo time
 18 requests sent |   4590 bytes sent |    7400 echo time
 18 requests sent |   4590 bytes sent |   14578 echo time
 18 requests sent |   4590 bytes sent |   48124 echo time
